repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"nexu-io/open-design","https://github.com/nexu-io/open-design","开源的 Claude Design 替代方案。🖥️ 本地优先的桌面应用。🖼️ 让你的编码智能体变身设计引擎：原型、落地页……","🎨 The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / Gemini / OpenCode / ","llm","yes","TypeScript","TypeScript, typescript, esm, ts-build","","92007","10071","356225045","339.7MB","2026-04-28","2026-08-15","Apache-2.0","796","unknown","yes","false","watch","readme-mentions-dsh"
"titanwings/colleague-skill","https://github.com/titanwings/colleague-skill","把离别化为温暖的 Skill（数字生命）。","A farewell-warming Skill for the community.","skills","yes","Python","Python","","24046","2043","6082082","5.8MB","2026-03-30","2026-08-15","MIT","34","unknown","yes","false","watch","readme-mentions-dsh"
"tt-a1i/archify","https://github.com/tt-a1i/archify","用于生成精美、可验证的架构图、工作流图、时序图、数据流图与生命周期图的智能体技能——自包含 HTML，带动态效果……","Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams—self-contained HTML with motion and crisp export.","session","yes","HTML","HTML","","22142","937","35122225","33.5MB","2026-04-15","2026-08-15","MIT","13","unknown","yes","false","watch","readme-mentions-dsh"
"anywhere-labs/deepseek-harness-desktop","https://github.com/anywhere-labs/deepseek-harness-desktop","基于官方 DeepSeek Harness 打造的 Electron 桌面端，深度适配 macOS 和 Windows，提供最佳的，开箱即用的体验。","An Electron desktop client built on the official DeepSeek Harness, finely tuned for macOS and Windows to deliver the best out-of-the-box experience.","utility","yes","TypeScript","TypeScript, react, express, typescript, vite, esm, ts-build","","21132","103","49709987","47.4MB","2026-08-13","2026-08-15","MIT","21","unknown","yes","false","watch","@deepseek-ai/dsh-tool-session-query; readme-mentions-dsh"
"awesome-dsh-plugin/awesome-dsh-plugin","https://github.com/awesome-dsh-plugin/awesome-dsh-plugin","DSH 插件精选列表。","Curated list of DSH plugins.","utility","yes","Python","Python","","13167","246","33857349","32.3MB","2026-08-13","2026-08-15","CC0-1.0","43","unknown","yes","false","watch","keyword-plugin; keyword-dsh; readme-mentions-dsh"
"liliMozi/openhanako","https://github.com/liliMozi/openhanako","带记忆、人格与自主性的个人 AI 智能体","Personal AI agent with memory, personality and autonomy","orchestration","no","TypeScript","TypeScript, react, hono, typescript, esbuild, vite, esm, ts-build","@tiptap/react, react, react-dom","6377","535","85874187","81.9MB","2026-03-15","2026-08-15","Apache-2.0","917","unknown","yes","false","plugin",""
"zhu1090093659/dsh-web-ui","https://github.com/zhu1090093659/dsh-web-ui","DSH Web UI 插件与皮肤合集：任务板、Git 面板等","DSH Web UI plugin & skin collection: task board, git panel, etc.","ui","yes","TypeScript","TypeScript, playwright","","6271","97","76457530","72.9MB","2026-08-12","2026-08-15","Apache-2.0","26","unknown","yes","false","plugin","readme-mentions-dsh"
"Devin-AXIS/iPolloWork","https://github.com/Devin-AXIS/iPolloWork","新一代 source-available AI 工作台。","Next-gen source-available AI workspace.","utility","yes","HTML","HTML","","4977","806","150697674","143.7MB","2025-08-25","2026-08-15","NOASSERTION","75","unknown","yes","false","watch","readme-mentions-dsh"
"crafter-station/petdex","https://github.com/crafter-station/petdex","Codex、Claude Code、OpenCode 与 Gemini CLI 的动画桌宠公共图库","A public gallery of animated pets for Codex, Claude Code, DeepSeek Harness, Hermes, OpenCode, Gemini CLI, and more.","tools","no","TypeScript","TypeScript, react, openai-sdk, typescript","@base-ui/react, @phosphor-icons/react, lucide-react, openai, react, react-dom","3983","180","12522114","11.9MB","2026-05-02","2026-08-14","MIT","14","unknown","yes","false","watch",""
"xiaobright/dsh-anchored-standard","https://github.com/xiaobright/dsh-anchored-standard","两阶段 DeepSeek Harness 预设：先最小对齐引导，再加载完整 Standard 工具集（Project2 98/99）","Two-phase DeepSeek Harness preset: Minimal-aligned bootstrap, then full Standard tools (Project2 98/99)","uncategorized","yes","JavaScript","JavaScript, esm","","3779","21","28976","28KB","2026-08-14","2026-08-15","NOASSERTION","5","","yes","false","plugin,manual","readme-mentions-dsh"
"liustack/modlens","https://github.com/liustack/modlens","DeepSeek Harness 首个视觉插件，纯文本模型看图。","The first vision plugin for DeepSeek Harness — let text-only models see.","llm","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","3725","37","4136025","3.9MB","2026-02-22","2026-08-15","MIT","2","unknown","yes","false","plugin","cordis.patch.yml; readme-mentions-dsh"
